,converged,frac_HtM,top10_wealth,MPC_labour,MPC_unweighted,monetary_dY_impact,monetary_dY_cum40
USA,False,0.010856238795688521,0.7965634219814917,0.029341182639699474,0.05752353216961055,1.854334247127317,21.33272918372475
FRA,True,0.22488882932482154,0.7602929252703428,0.20000000000058743,0.256123500139581,2.29356321631735,23.579539655710605
GER,True,0.24954604308562675,0.7579830196928268,0.1999999999975863,0.27386597884827124,2.3254450336537955,24.03398821735709
baseline,True,0.27903745413320474,0.7533289277093761,0.19999999992808792,0.28890193595270897,2.410858956674223,28.255599756510527
