country,canonical,OOS_f_DE,OOS_f_TikTak,persistent_agree,any_param_at_bound,ergodic_sd_z2,KMV_ergodic_sd_z2,beta2_pinned
USA,DE,0.03298944283399055,0.03321403922102171,True,False,0.954122633627355,0.954122633627355,True
FRA,DE,0.0013327386032316248,0.004898745053119823,True,False,0.9032533216368638,0.954122633627355,False
GER,DE,0.035340052082385526,0.04076960903660871,True,False,0.954122633627355,0.954122633627355,True
