,converged,beta_hi,beta_lo,dbeta,omega,beta_ave
USA,False,0.990136771444734,0.990136769866649,1.578084967220253e-09,0.5920240157994804,0.9901367708009132
FRA,True,0.9979746018683231,0.9047063406742536,0.09326826119406952,0.698727687613217,0.9698754571460914
GER,True,0.9980766933430495,0.9315559001287299,0.06652079321431961,0.6660049211690798,0.9758590757695375
baseline (KMV chain),True,0.9987628713512637,0.9109027223896013,0.08786014896166237,0.4903451118386398,0.9539845169583673
