,converged,direct,indirect,ind_labour,ind_taxes,ind_capital_gains,identity_residual
USA,False,0.3125282272370361,0.7039818055339445,0.19980009201100474,0.09411786162283393,0.41006385190010575,0.09141270425128237
FRA,True,0.25546683158638717,0.7445333618089177,0.3289514333351953,0.14016926496126048,0.2754126635124621,9.982057963754879e-07
GER,True,0.23951052722674787,0.760489757342396,0.34503383283529576,0.14465324179960462,0.2708026827074954,1.4691169765356715e-06
baseline,True,0.19650431109679853,0.803495784374459,0.4182126404356928,0.15982246548153475,0.22546067845723147,0.0
KMV (2018) Table 7,True,0.19,0.81,0.51,0.32,-0.02,
