,USA,FRA,GER
lambda1,0.216442386705066,0.19139701044031862,0.1580229737303069
beta1,2.933160210489792,4.266004126294988,5.338676339356072
sigma1,1.9407426858091736,1.9100383507905205,1.791486911513116
lambda2,0.010604306422753973,0.007048947231226969,0.010233216932458317
beta2,0.01360773177108695,0.0051533093382506966,0.006558690087848766
sigma2,1.5285193178388203,1.0922084741434752,1.080243497439863
