,"KMV (US, GKOS)",USA,FRA,GER
Variance: annual log earns,0.7,0.955674961875,0.47622015050267286,0.6451521803395881
Variance: 1yr change,0.23,0.32630312812499995,0.20663552609508914,0.14782919822597254
Variance: 5yr change,0.46,0.6122784785714285,0.33153626553137605,0.28488531325673017
Kurtosis: 1yr change,17.8,12.778125,15.236373933333335,17.803338666666665
Kurtosis: 5yr change,11.6,8.8285,11.39503909090909,11.210244
Frac 1yr change < 10%,0.54,0.38736838056734724,0.5189739388670657,0.611028130561682
Frac 1yr change < 20%,0.71,0.5881865980589074,0.7183875836185143,0.7875898228453523
Frac 1yr change < 50%,0.86,0.8106074345520271,0.8607340197881261,0.8940169548582018
