country,year,gender,age,nobs_log_inc,std_log_inc,nobs_res_1yr_log_chg,std_res_1yr_log_chg,kurt_res_1yr_log_chg,p1_res_1yr_log_chg,p2_5_res_1yr_log_chg,p5_res_1yr_log_chg,p10_res_1yr_log_chg,p12_5_res_1yr_log_chg,p25_res_1yr_log_chg,p37_5_res_1yr_log_chg,p50_res_1yr_log_chg,p62_5_res_1yr_log_chg,p75_res_1yr_log_chg,p87_5_res_1yr_log_chg,p90_res_1yr_log_chg,p95_res_1yr_log_chg,p97_5_res_1yr_log_chg,p99_res_1yr_log_chg,p99_9_res_1yr_log_chg,p99_99_res_1yr_log_chg,p9010_res_1yr_log_chg,p9050_res_1yr_log_chg,p5010_res_1yr_log_chg,nobs_res_5yr_log_chg,std_res_5yr_log_chg,kurt_res_5yr_log_chg
FRA,2004,Male,25-55,677048.0,0.69261777,600930.0,0.47857469,15.02587,-1.816587,-1.1658241,-0.65326411,-0.2109203,-0.1188202,0.0046489001,0.031667199,0.051044598,0.074513897,0.1154655,0.25119731,0.33268929,0.71914911,1.152607,1.6292551,2.496551,3.204252,0.54360962,0.2816447,0.26196492,494512.0,0.58688748,10.96659
FRA,2005,Male,25-55,673342.0,0.67949378,625278.0,0.44702381,16.137409,-1.694362,-1.0555069,-0.55681902,-0.1564845,-0.081414603,0.0272821,0.054582801,0.074538,0.097897597,0.1372733,0.26236349,0.33504429,0.67657638,1.091862,1.556626,2.384846,3.0047569,0.49152881,0.2605063,0.23102251,506445.0,0.57710361,11.52983
FRA,2006,Male,25-55,742747.0,0.6841591,675550.0,0.44396651,15.50821,-1.661715,-1.03785,-0.55625939,-0.1779636,-0.1069187,0.0060794,0.0356385,0.055201199,0.079677597,0.1240251,0.26772371,0.34519699,0.68980432,1.092358,1.5349751,2.3111811,2.8830111,0.52316058,0.28999579,0.2331648,541756.0,0.58363491,11.15138
FRA,2007,Male,25-55,741476.0,0.67451268,691292.0,0.43382901,15.78428,-1.687152,-1.068928,-0.59190089,-0.2068314,-0.1246366,0.0032702,0.036378399,0.057533901,0.082495399,0.1253033,0.2476539,0.31127071,0.6127162,0.98371398,1.435029,2.2228191,2.8279231,0.51810211,0.25373682,0.26436529,541049.0,0.57054508,11.54792
FRA,2008,Male,25-55,767092.0,0.67484128,687672.0,0.4559238,15.01811,-1.854427,-1.25317,-0.73598999,-0.27599359,-0.16901749,0.00094100001,0.044542499,0.066927202,0.089840002,0.1261555,0.2255625,0.2772553,0.54527712,0.91294718,1.389133,2.2609291,2.7695971,0.55324888,0.2103281,0.34292078,544635.0,0.57480842,11.46866
FRA,2009,Male,25-55,734714.0,0.68046051,681653.0,0.43814671,15.5991,-1.7179739,-1.10664,-0.60643989,-0.1887567,-0.1043529,0.017536299,0.045449302,0.063779399,0.086905897,0.1257477,0.2387553,0.30180579,0.61485022,1.007028,1.456773,2.2171471,2.81408,0.4905625,0.2380264,0.25253612,538418.0,0.57404822,11.41018
FRA,2010,Male,25-55,754214.0,0.68829119,685225.0,0.4420495,14.89516,-1.69108,-1.076121,-0.59206182,-0.1891087,-0.1080663,0.0111432,0.039057001,0.058174599,0.082512297,0.1249335,0.25891259,0.33406961,0.6762979,1.063616,1.485417,2.2517731,2.764117,0.52317834,0.275895,0.24728329,538897.0,0.58591467,10.75234
FRA,2011,Male,25-55,741679.0,0.68497068,674752.0,0.44172171,15.37808,-1.742185,-1.1379091,-0.63100088,-0.215523,-0.1294641,0.0064766002,0.0400142,0.059604,0.080652699,0.1177504,0.23493209,0.30183169,0.61524719,0.98888302,1.426549,2.1764121,2.732939,0.51735473,0.24222769,0.27512699,551189.0,0.57892293,11.04278
FRA,2012,Male,25-55,737722.0,0.68664539,665719.0,0.44548619,15.11745,-1.747041,-1.1299,-0.62373888,-0.2018571,-0.1139664,0.0127487,0.0415712,0.064147897,0.095293596,0.1480512,0.269887,0.32962939,0.63857007,1.0141211,1.4432451,2.1659851,2.738266,0.53148651,0.2654815,0.26600501,,,
FRA,2013,Male,25-55,717985.0,0.69561589,666073.0,0.4459444,15.18405,-1.745257,-1.126281,-0.62741017,-0.2056392,-0.1159847,0.0159084,0.046552401,0.066658102,0.091325499,0.13406201,0.25702479,0.32372591,0.64998209,1.023542,1.450941,2.1841409,2.720366,0.52936512,0.2570678,0.27229729,,,
FRA,2014,Male,25-55,736026.0,0.70354772,666337.0,0.45212489,14.21246,-1.739913,-1.122812,-0.64051682,-0.21742,-0.1181197,0.0232579,0.054654401,0.073796697,0.097437397,0.13999701,0.27483901,0.35137701,0.69286507,1.063612,1.4721889,2.186094,2.7672169,0.56879699,0.27758032,0.2912167,,,
FRA,2015,Male,25-55,720286.0,0.70816201,667964.0,0.45656759,14.32651,-1.725348,-1.108965,-0.61860949,-0.202237,-0.1134144,0.0166591,0.0460889,0.065244302,0.090583198,0.13710091,0.28976351,0.37673891,0.74241728,1.093769,1.502622,2.2308619,2.769721,0.57897592,0.31149459,0.2674813,,,
FRA,2016,Male,25-55,750980.0,0.71395183,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,2001,Male,25-55,13112940.0,0.74786097,11912000.0,0.40293312,16.499973,-1.5793425,-1.0437745,-0.59536338,-0.2351187,-0.16511169,-0.061740384,-0.028747337,-0.0077322843,0.013211424,0.045316026,0.14380649,0.20083414,0.49662974,0.86859035,1.3575852,2.3328671,2.9119077,0.43595284,0.20856643,0.22738642,9598560.0,0.53976727,11.627967
GER,2002,Male,25-55,12822360.0,0.7622205,11639750.0,0.39919978,16.776758,-1.5744224,-1.0387301,-0.59117287,-0.22668104,-0.15646325,-0.056110412,-0.023723021,-0.002479299,0.017670298,0.046901822,0.13594541,0.18866625,0.47790915,0.85966444,1.3422002,2.3101475,2.7791252,0.41534728,0.19114555,0.22420174,9519170.0,0.53146648,11.594639
